日期,排名,电影ID,电影名称,影片英文名称,当前票房(万),累计票房(万),累计场次,累计人次(万),天数,票房占比,当前场次,当前人次(万),人次占比,累计上映天数,场均人次,场均收入,上映日期,黄金场票房(万),黄金场场次,黄金场人次(万),黄金场排座(万),黄金场场均人次,票房环比,场次环比,人次环比,场次占比,上午场票房(万),上午场场次,上午场人次(万),下午场票房(万),下午场场次,下午场人次(万),加映场票房(万),加映场场次,加映场人次(万),上座率,黄金场票房占比,黄金场场次占比,黄金场人次占比,黄金场上座率,票房占全国比,当前排座(万),排座占比
2023-10-25,47,39751,余下都是春天,Tomrrow is another day,2060,51913,29,1682,1,0.01,1,103,0.01,18,103,2060,2023-10-08,0,0,0,0,0,-20.77,-66.67,-20.77,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,309,0
2023-10-25,48,39750,花开那年,The Year of Blossoms,2041,34766.18,656,1223,1,0.01,38,72,0.01,6,2,54,2023-10-20,0,6,0,687,0,-11.76,-11.63,-20.88,0.01,740,7,37,60,20,3,0,3,0,1.98,0,15.79,0,0,100,3636,0.01
2023-10-25,49,39586,幸福小马灯,Happiness of century lantern,1812,315515.52,532,9824,1,0.01,10,82,0.01,28,8,181,2023-09-28,363.5,1,15,128,15,277.5,0,355.56,0,980,1,49,363.5,3,15,0,1,0,13.4,20.06,10,18.29,11.72,100,612,0
2023-10-25,50,39465,暴风,Faces in the Crowd,1770,39614894.08,359239,1069374,1,0,1,59,0.01,195,59,1770,2023-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,177,0
2023-10-25,51,39767,我的姐妹是网红之追梦花,My Sister is an Internet Celebrity,1750,14886,5,518,1,0,1,70,0.01,-1,70,1750,2023-10-27,0,0,0,0,0,0,0,0,0,0,0,0,1750,1,70,0,0,0,26.52,0,0,0,0,100,264,0
2023-10-25,52,36357,超级的我,Super Me,1446,11432111.99,211653,332377,1,0,8,51,0.01,930,6,181,2021-04-09,0,0,0,0,0,363.46,0,363.64,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,153,0
2023-10-25,53,39646,巨齿鲨2：深渊,Meg 2: The Trench,1355.3,851981191.5,1480936,20123505,1,0,49,33,0,83,1,28,2023-08-04,376,7,10,703,1,118.6,8.89,106.25,0.01,0,9,0,513.3,26,12,341,6,8,0.66,27.74,14.29,30.3,1.42,100,4963,0.01
2023-10-25,54,39726,大洋追鱼记,CHASING TUNA IN THE OCEAN,1312.81,71400.7,761,2484,1,0,20,59,0.01,18,3,66,2023-10-08,0,2,0,170,0,293.06,-13.04,293.33,0.01,332.8,3,10,980.01,13,49,0,0,0,2.63,0,10,0,0,100,2242,0.01
2023-10-25,55,39716,不虚此行,All Ears,1223.8,27377324.65,276028,628622,1,0,40,28,0,47,1,31,2023-09-09,151.4,5,3,383,1,42.14,0,27.27,0.01,147,8,3,925.4,24,22,0,1,0,0.79,12.37,12.5,10.71,0.78,100,3523,0.01
2023-10-25,56,39752,硬核老爸,Hardcore Dad,1117.9,127815.21,666,4047,1,0,99,44,0,4,0,11,2023-10-22,72.58,18,3,2249,0,-92.4,-26.67,-89.37,0.03,37.9,22,1,114.92,37,4,37.5,8,1,0.47,6.49,18.18,6.82,0.13,100,9459,0.02
